date,data
200601,0.6
200602,0.2
200603,0.6
200604,0.1
200605,0.2
200606,-0.2
200607,0.4
200608,0.6
200609,0.3
200610,-0.5
200611,-0.5
200612,0.3
200701,0.2
200702,0.7
200703,0.6
200704,0.4
200705,0.1
200706,0.0
200707,0.4
200708,0.1
200709,0.6
200710,0.2
200711,0.0
200712,0.4
200801,0.5
200802,0.4
200803,0.9
200804,0.6
200805,0.8
200806,0.6
200807,0.7
200808,-0.2
200809,0.1
200810,-0.1
200811,-0.3
200812,0.0
200901,0.1
200902,0.7
200903,0.7
200904,0.3
200905,0.0
200906,-0.1
200907,0.4
200908,0.4
200909,0.1
200910,-0.3
200911,0.2
200912,0.4
201001,0.8
201002,0.2
201003,0.2
201004,0.4
201005,0.1
201006,-0.1
201007,0.2
201008,0.5
201009,0.8
201010,0.0
201011,-0.5
201012,0.4
201101,1.2
201102,0.7
201103,0.4
201104,0.1
201105,0.2
201106,0.2
201107,0.5
201108,0.7
201109,-0.1
201110,-0.2
201111,0.1
201112,0.4
201201,0.4
201202,0.4
201203,0.0
201204,0.0
201205,0.2
201206,-0.1
201207,-0.2
201208,0.5
201209,0.7
201210,-0.2
201211,-0.4
201212,0.2
201301,0.6
201302,0.3
201303,-0.1
201304,-0.1
201305,0.0
201306,-0.1
201307,0.2
201308,0.4
201309,0.2
201310,-0.3
201311,0.0
201312,0.1
201401,0.5
201402,0.3
201403,0.2
201404,0.1
201405,0.2
201406,-0.1
201407,0.1
201408,0.2
201409,-0.1
201410,-0.3
201411,-0.2
201412,0.0
201501,0.7
201502,-0.1
201503,0.0
201504,0.0
201505,0.3
201506,0.0
201507,0.2
201508,0.1
201509,-0.3
201510,0.0
201511,-0.2
201512,0.3
201601,0.2
201602,0.4
201603,-0.3
201604,0.2
201605,0.1
201606,0.0
201607,-0.2
201608,0.3
201609,0.6
201610,0.1
201611,-0.1
201612,0.1
201701,1.1
201702,0.3
201703,-0.1
201704,-0.1
201705,0.1
201706,-0.2
201707,0.2
201708,0.6
201709,0.1
201710,-0.1
201711,-0.7
201712,0.4
201801,0.4
201802,0.8
201803,-0.1
201804,0.2
201805,0.0
201806,-0.2
201807,-0.2
201808,0.9
201809,0.8
201810,-0.2
201811,-0.7
201812,-0.3
201901,-0.1
201902,0.4
201903,-0.2
201904,0.4
201905,0.2
201906,-0.2
201907,-0.3
201908,0.2
201909,0.4
201910,0.2
201911,-0.6
201912,0.2
202001,0.4
202002,0.1
202003,-0.2
202004,-0.4
202005,-0.1
202006,0.3
202007,-0.1
202008,0.6
202009,0.5
202010,-0.6
202011,-0.1
202012,0.2
202101,0.7
202102,0.5
202103,0.3
202104,0.1
202105,0.1
202106,0.0
202107,0.2
202108,0.5
202109,0.4
202110,0.2
202111,0.5
202112,0.2
202201,0.6
202202,0.6
202203,0.7
202204,0.7
202205,0.7
202206,0.6
202207,0.5
202208,-0.1
202209,0.3
202210,0.3
