,주택관리번호,공고번호,주택명,주택구분코드,주택구분코드명,주택상세구분코드,주택상세구분코드명,분양구분코드,분양구분코드명,공급지역코드,공급지역명,공급위치 우편번호,공급위치,공급규모,모집공고일,청약접수시작일,청약접수종료일,특별공급 접수시작일,특별공급 접수종료일,1순위 접수일 해당지역,1순위 접수일 경기지역,1순위 접수일 기타지역,2순위 접수일 해당지역,2순위 접수일 경기지역,2순위 접수일 기타지역,당첨자발표일,계약시작일,계약종료일,홈페이지주소,건설업체명(시공사),문의처,사업주체명(시행사),입주예정월,투기과열지구,조정대상지역,분양가상한제,정비사업,공공주택지구,대규모택지개발지구,수도권내민영공공주택지구
0,2020000001,2020000001,SH 마곡지구 9단지,1,APT,3,국민,0,분양주택,100,서울,7599,강서구,962,2020-02-26,2020-03,2020-03-18,,,2020-03-16,,2020-03-17,2020-03-18,,2020-03-18,2020-03-25,2020-06-02,2020-06-04,http://www.i-sh.co.kr,한신공영,1600-3456,서울주택도시공사,202102,Y,Y,Y,N,N,N,N
1,2020000004,2020000004,대구연경A-2블록국민임대,1,APT,3,국민,2,분양전환 불가임대,700,대구,41003,동구,167,2020-02-03,2020-02,2020-02-18,,,2020-02-17,,,2020-02-18,,,2020-05-07,2020-05-18,2020-05-20,,,1600-1004,한국토지주택대구경북,202005,N,N,N,N,N,N,N
2,2020000005,2020000005,경북도청신도시 코오롱하늘채,1,APT,3,국민,1,분양전환 가능임대,712,경북,36759,안동시,869,2020-02-03,2020-02,2020-02-25,2020-02-21,2020-02-21,2020-02-24,,2020-02-24,2020-02-25,,2020-02-25,2020-03-02,2020-04-27,2020-04-29,https://www.gbdc.co.kr/modelhouse/index.html,코오롱글로벌(주),054-843-1500,경상북도개발공사,202007,N,N,N,N,N,N,N
3,2020000007,2020000007,학성동 동남하이빌아파트,1,APT,1,민영,0,분양주택,680,울산,44519,중구,69,2020-02-04,2020-02,2020-02-17,,,2020-02-14,,2020-02-14,2020-02-17,,2020-02-17,2020-02-21,2020-03-03,2020-03-05,,일위종합건설(주),052-268-1866,동남건설산업(주),202003,N,N,N,N,N,N,N
4,2020000008,2020000008,제주첨단과학기술단지A23블록행복주택,1,APT,3,국민,2,분양전환 불가임대,690,제주,0,제주시,402,2020-02-04,2020-02,2020-02-18,,,2020-02-14~2020-02-17,,2020-02-14~2020-02-17,2020-02-18,,2020-02-18,2020-05-19,2020-06-02,2020-06-05,https://www.jdcenter.com/main.cs,,064-797-5500,제주국제자유도시개발,202008,N,N,N,N,N,N,N
5,2020000009,2020000009,의왕 오전 동아루미체,1,APT,1,민영,0,분양주택,410,경기,16060,의왕시,65,2020-02-05,2020-02,2020-02-19,2020-02-17,2020-02-17,2020-02-18,,2020-02-18,2020-02-19,,2020-02-19,2020-02-25,2020-03-09,2020-03-11,,(주)동아토건,031-452-7750,(주)휘보건설,202112,N,N,N,N,N,N,N
6,2020000010,2020000010,양주옥정유림노르웨이숲,1,APT,1,민영,0,분양주택,410,경기,11478,양주시,1140,2020-02-07,2020-02,2020-02-20,2020-02-18,2020-02-18,2020-02-19,2020-02-19,2020-02-19,2020-02-20,2020-02-20,2020-02-20,2020-02-27,2020-03-10,2020-03-12,http://okjung-yulim.com,(주)유림 E&C,031-868-8110,(주)유림이엔씨,202301,N,N,Y,N,Y,Y,N
7,2020000014,2020000014,진주정촌올리움 국민임대주택,1,APT,3,국민,2,분양전환 불가임대,621,경남,52845,진주시,369,2020-02-05,2020-02,2020-03-25,,,2020-02-12~2020-03-18,,2020-02-12~2020-03-18,2020-03-19~2020-03-25,,2020-03-19~2020-03-25,2020-06-10,2020-06-15,2020-06-16,http://www.gndc.co.kr,코오롱글로벌(주),055-269-0409,경상남도개발공사,202006,N,N,N,N,N,N,N
8,2020000015,2020000015,남해평리휴먼시아,1,APT,3,국민,2,분양전환 불가임대,621,경남,52427,남해군,50,2020-02-10,2020-02,2020-02-21,,,2020-02-20,,2020-02-20,2020-02-21,,2020-02-21,2020-04-29,2020-05-04,2020-05-29,,,055-863-5661,주택관리공단남해평리,202005,N,N,N,N,N,N,N
9,2020000028,2020000028,대연 삼정그린코아 더 베스트,1,APT,1,민영,0,분양주택,600,부산,48431,남구,337,2020-02-14,2020-02,2020-02-28,2020-02-26,2020-02-26,2020-02-27,,2020-02-27,2020-02-28,,2020-02-28,2020-03-04,2020-03-16,2020-03-18,http://greencorebest-dy.co.kr/,삼정건설 주식회사,051-744-1008,(주)위드워킹,202210,N,N,N,N,N,N,N
10,2020000040,2020000040,매교역 푸르지오 SK VIEW(수원),1,APT,1,민영,0,분양주택,410,경기,16468,수원시,1795,2020-02-07,2020-02,2020-02-20,2020-02-18,2020-02-18,2020-02-19,,2020-02-19,2020-02-20,,2020-02-20,2020-02-27,2020-03-16,2020-03-24,http://www.prugio.com/house/2020/maegyo,(주)대우건설,1800-4844,팔달8구역 주택재개발,202207,N,N,N,Y,N,N,N
11,2020000041,2020000041,두호 SK VIEW 푸르지오 1단지,1,APT,1,민영,0,분양주택,712,경북,37623,포항시,91,2020-02-14,2020-02,2020-02-26,2020-02-24,2020-02-24,2020-02-25,,2020-02-25,2020-02-26,,2020-02-26,2020-03-03,2020-03-17,2020-03-19,http://www.duho.co.kr,"SK건설, 대우건설",054-275-2220,두호주공1차아파트주택재건축정비사업조합,202003,N,N,N,N,N,N,N
12,2020000045,2020000045,2020.2.7. LH 국민임대 예비입주자 모집공고,1,APT,3,국민,2,분양전환 불가임대,621,경남,50655,양산시,520,2020-02-07,2020-02,2020-02-21,,,2020-02-20,,2020-02-20,2020-02-21,,2020-02-21,2020-05-29,2020-06-30,2020-06-30,https://www.lh.or.kr/,,1600-1004,한국토지주택공사경남,202006,N,N,N,N,N,N,N
13,2020000046,2020000046,e편한세상 금산 센터하임,1,APT,1,민영,0,분양주택,312,충남,32725,금산군,461,2020-02-14,2020-02,2020-02-25,,,2020-02-24,,2020-02-24,2020-02-25,,2020-02-25,2020-03-02,2020-03-16,2020-03-18,http://www.samhoapt21.co.kr,(주)삼호,023-451-1123,(주)한국토지신탁,202205,N,N,N,N,N,N,N
14,2020000047,2020000047,서면 스위트엠 골드에비뉴,1,APT,1,민영,0,분양주택,600,부산,47361,부산진구,225,2020-02-14,2020-02,2020-02-26,2020-02-24,2020-02-24,2020-02-25,,2020-02-25,2020-02-26,,2020-02-26,2020-03-03,2020-03-16,2020-03-18,http://www.서면스위트엠.com,일군토건,051-632-0112,대한토지신탁(주),202202,N,N,N,N,N,N,N
15,2020000048,2020000048,LH 부산좌동 창업지원주택 입주자 추가모집,1,APT,3,국민,2,분양전환 불가임대,600,부산,48108,해운대구,74,2020-02-13,2020-03,2020-03-06,,,2020-03-02~2020-03-04,,2020-03-02~2020-03-04,2020-03-05~2020-03-06,,2020-03-05~2020-03-06,2020-05-26,2020-06-02,2020-06-04,,,1600-1004,한국토지주택부산울산,202012,N,N,N,N,N,N,N
16,2020000049,2020000049,장성삼계 국민임대주택,1,APT,3,국민,2,분양전환 불가임대,513,전남,57238,장성군,90,2020-02-14,2020-02,2020-03-03,,,2020-02-26,,2020-02-26,2020-02-27~2020-03-03,,2020-02-27~2020-03-03,2020-05-22,2020-06-03,2020-06-05,,,1600-1004,한국토지주택광주전남,202101,N,N,N,N,N,N,N
17,2020000050,2020000050,충남도청이전도시RM6BL,1,APT,3,국민,2,분양전환 불가임대,312,충남,32416,예산군,355,2020-02-07,2020-02,2020-03-02,,,2020-02-25~2020-02-27,,2020-02-25~2020-02-27,2020-02-28~2020-03-02,,2020-02-28~2020-03-02,2020-05-14,2020-06-01,2020-06-05,,,1600-1004,한국토지주택대전충남,202006,N,N,N,N,N,N,N
18,2020000051,2020000051,당리1구역(당리푸르지오),1,APT,3,국민,2,분양전환 불가임대,600,부산,49322,사하구,25,2020-02-13,2020-02,2020-02-28,,,2020-02-27,,2020-02-27,2020-02-28,,2020-02-28,2020-04-16,2020-04-17,2020-04-17,,,051-810-1324,부산도시공사,202005,N,N,N,N,N,N,N
19,2020000052,2020000052,무주에코르 10년 공공임대주택,1,APT,3,국민,1,분양전환 가능임대,560,전북,55549,무주군,80,2020-02-11,2020-02,2020-02-27,2020-02-25,2020-02-25,2020-02-26,,2020-02-26,2020-02-27,,2020-02-27,2020-03-04,2020-04-20,2020-04-22,http://www.jbdc.co.kr,주식회사 새한,063-280-7417,전북개발공사,202008,N,N,N,N,N,N,N
