,주택관리번호,공고번호,모델번호,주택형,공급세대수,순위,거주코드,거주지역,접수건수,경쟁률,최저당첨가점,최고당첨가점,평균당첨가점
0,2020000001,2020000001,1,059.0000H,118,1,1,해당지역,15685,132.92,-1.0,-1.0,-1.0
1,2020000001,2020000001,1,059.0000H,118,1,2,기타지역,0,,,,
2,2020000001,2020000001,1,059.0000H,118,2,1,해당지역,0,,-1.0,-1.0,-1.0
3,2020000001,2020000001,1,059.0000H,118,2,2,기타지역,0,,,,
4,2020000001,2020000001,2,084.0000H,122,1,1,해당지역,18139,148.68,-1.0,-1.0,-1.0
5,2020000001,2020000001,2,084.0000H,122,1,2,기타지역,0,,,,
6,2020000001,2020000001,2,084.0000H,122,2,1,해당지역,0,,-1.0,-1.0,-1.0
7,2020000001,2020000001,2,084.0000H,122,2,2,기타지역,0,,,,
8,2020000001,2020000001,3,084.0000N,12,1,1,해당지역,3175,264.58,-1.0,-1.0,-1.0
9,2020000001,2020000001,3,084.0000N,12,1,2,기타지역,0,,,,
10,2020000001,2020000001,3,084.0000N,12,2,1,해당지역,0,,-1.0,-1.0,-1.0
11,2020000001,2020000001,3,084.0000N,12,2,2,기타지역,0,,,,
12,2020000005,2020000005,1,060.9358A,12,1,1,해당지역,25,2.08,-1.0,-1.0,-1.0
13,2020000005,2020000005,1,060.9358A,12,1,2,기타지역,7,,,,
14,2020000005,2020000005,1,060.9358A,12,2,1,해당지역,0,,-1.0,-1.0,-1.0
15,2020000005,2020000005,1,060.9358A,12,2,2,기타지역,0,,,,
16,2020000005,2020000005,2,060.9326B,69,1,1,해당지역,41,28.0,-1.0,-1.0,-1.0
17,2020000005,2020000005,2,060.9326B,69,1,2,기타지역,8,20.0,,,
18,2020000005,2020000005,2,060.9326B,69,2,1,해당지역,15,5.0,-1.0,-1.0,-1.0
19,2020000005,2020000005,2,060.9326B,69,2,2,기타지역,4,1.0,,,
20,2020000005,2020000005,3,060.9808C,50,1,1,해당지역,14,36.0,-1.0,-1.0,-1.0
21,2020000005,2020000005,3,060.9808C,50,1,2,기타지역,0,36.0,,,
22,2020000005,2020000005,3,060.9808C,50,2,1,해당지역,15,21.0,-1.0,-1.0,-1.0
23,2020000005,2020000005,3,060.9808C,50,2,2,기타지역,6,15.0,,,
24,2020000005,2020000005,4,074.9780 ,76,1,1,해당지역,22,54.0,-1.0,-1.0,-1.0
25,2020000005,2020000005,4,074.9780 ,76,1,2,기타지역,7,47.0,,,
26,2020000005,2020000005,4,074.9780 ,76,2,1,해당지역,11,36.0,-1.0,-1.0,-1.0
27,2020000005,2020000005,4,074.9780 ,76,2,2,기타지역,2,34.0,,,
28,2020000005,2020000005,5,074.9780A,101,1,1,해당지역,74,27.0,-1.0,-1.0,-1.0
29,2020000005,2020000005,5,074.9780A,101,1,2,기타지역,10,17.0,,,
30,2020000005,2020000005,5,074.9780A,101,2,1,해당지역,8,9.0,-1.0,-1.0,-1.0
31,2020000005,2020000005,5,074.9780A,101,2,2,기타지역,2,7.0,,,
32,2020000005,2020000005,6,074.9600B,70,1,1,해당지역,21,49.0,-1.0,-1.0,-1.0
33,2020000005,2020000005,6,074.9600B,70,1,2,기타지역,8,41.0,,,
34,2020000005,2020000005,6,074.9600B,70,2,1,해당지역,10,31.0,-1.0,-1.0,-1.0
35,2020000005,2020000005,6,074.9600B,70,2,2,기타지역,2,29.0,,,
36,2020000005,2020000005,7,077.8980 ,22,1,1,해당지역,6,16.0,-1.0,-1.0,-1.0
37,2020000005,2020000005,7,077.8980 ,22,1,2,기타지역,4,12.0,,,
38,2020000005,2020000005,7,077.8980 ,22,2,1,해당지역,9,3.0,-1.0,-1.0,-1.0
39,2020000005,2020000005,7,077.8980 ,22,2,2,기타지역,1,2.0,,,
40,2020000005,2020000005,8,077.7980 ,22,1,1,해당지역,5,17.0,-1.0,-1.0,-1.0
41,2020000005,2020000005,8,077.7980 ,22,1,2,기타지역,5,12.0,,,
42,2020000005,2020000005,8,077.7980 ,22,2,1,해당지역,1,11.0,-1.0,-1.0,-1.0
43,2020000005,2020000005,8,077.7980 ,22,2,2,기타지역,0,11.0,,,
44,2020000005,2020000005,9,084.8636A,131,1,1,해당지역,167,1.27,-1.0,-1.0,-1.0
45,2020000005,2020000005,9,084.8636A,131,1,2,기타지역,49,,,,
46,2020000005,2020000005,9,084.8636A,131,2,1,해당지역,0,,-1.0,-1.0,-1.0
47,2020000005,2020000005,9,084.8636A,131,2,2,기타지역,0,,,,
48,2020000005,2020000005,10,084.9152B,163,1,1,해당지역,52,111.0,-1.0,-1.0,-1.0
49,2020000005,2020000005,10,084.9152B,163,1,2,기타지역,11,100.0,,,
50,2020000005,2020000005,10,084.9152B,163,2,1,해당지역,59,41.0,-1.0,-1.0,-1.0
51,2020000005,2020000005,10,084.9152B,163,2,2,기타지역,9,32.0,,,
52,2020000005,2020000005,11,084.9750T,16,1,1,해당지역,28,1.75,-1.0,-1.0,-1.0
53,2020000005,2020000005,11,084.9750T,16,1,2,기타지역,4,,,,
54,2020000005,2020000005,11,084.9750T,16,2,1,해당지역,0,,-1.0,-1.0,-1.0
55,2020000005,2020000005,11,084.9750T,16,2,2,기타지역,0,,,,
56,2020000007,2020000007,1,084.2405A,15,1,1,해당지역,1,14.0,12.0,12.0,12.0
57,2020000007,2020000007,1,084.2405A,15,1,2,기타지역,2,12.0,,,
58,2020000007,2020000007,1,084.2405A,15,2,1,해당지역,5,7.0,11.0,33.0,22.0
59,2020000007,2020000007,1,084.2405A,15,2,2,기타지역,3,4.0,,,
60,2020000007,2020000007,2,084.1366B,15,1,1,해당지역,0,15.0,-1.0,-1.0,-1.0
61,2020000007,2020000007,2,084.1366B,15,1,2,기타지역,0,15.0,,,
62,2020000007,2020000007,2,084.1366B,15,2,1,해당지역,2,13.0,-1.0,-1.0,-1.0
63,2020000007,2020000007,2,084.1366B,15,2,2,기타지역,1,12.0,,,
64,2020000007,2020000007,3,084.8313C,15,1,1,해당지역,0,15.0,-1.0,-1.0,-1.0
65,2020000007,2020000007,3,084.8313C,15,1,2,기타지역,0,15.0,,,
66,2020000007,2020000007,3,084.8313C,15,2,1,해당지역,0,15.0,-1.0,-1.0,-1.0
67,2020000007,2020000007,3,084.8313C,15,2,2,기타지역,1,14.0,,,
68,2020000007,2020000007,4,084.8655D,24,1,1,해당지역,1,23.0,0.0,0.0,0.0
69,2020000007,2020000007,4,084.8655D,24,1,2,기타지역,2,21.0,,,
70,2020000007,2020000007,4,084.8655D,24,2,1,해당지역,2,19.0,0.0,0.0,0.0
71,2020000007,2020000007,4,084.8655D,24,2,2,기타지역,0,19.0,,,
72,2020000009,2020000009,1,074.9100 ,43,1,1,해당지역,28,15.0,23.0,51.0,31.0
73,2020000009,2020000009,1,074.9100 ,43,1,2,기타지역,183,12.2,,,
74,2020000009,2020000009,1,074.9100 ,43,2,1,해당지역,0,,0.0,0.0,0.0
75,2020000009,2020000009,1,074.9100 ,43,2,2,기타지역,0,,,,
76,2020000009,2020000009,2,074.8900 ,22,1,1,해당지역,16,6.0,43.0,50.0,46.0
77,2020000009,2020000009,2,074.8900 ,22,1,2,기타지역,138,23.0,,,
78,2020000009,2020000009,2,074.8900 ,22,2,1,해당지역,0,,0.0,0.0,0.0
79,2020000009,2020000009,2,074.8900 ,22,2,2,기타지역,0,,,,
80,2020000010,2020000010,1,072.3007A,30,1,1,해당지역,4,5.0,10.0,20.0,17.0
81,2020000010,2020000010,1,072.3007A,30,1,2,기타지역,9,9.0,18.0,37.0,27.0
82,2020000010,2020000010,1,072.3007A,30,1,3,기타경기,8,3.0,,,
83,2020000010,2020000010,1,072.3007A,30,2,1,해당지역,5,1.67,,,
84,2020000010,2020000010,1,072.3007A,30,2,2,기타지역,20,11.0,,,
85,2020000010,2020000010,1,072.3007A,30,2,3,기타경기,24,13.0,13.0,37.0,23.0
86,2020000010,2020000010,2,075.9964A,259,1,1,해당지역,30,48.0,8.0,57.0,24.0
